ride_index,start_lat,start_lon,end_lat,end_lon,distance_covered,distance_since_start,elevation_change,elevation,time_since_start,time_elapsed,pct_of_total_ride,elevation_gain,elevation_lost,avg_velocity_kmh,slope_percentage,total_climb_since_start
1,40.181009,26.359442,40.184964,26.353516,783.85,0.0,15.5,6.8,0.0,221.0,2.12,15.4,0.0,12.77,2.0,15.4
1,40.184964,26.353516,40.19136,26.357408,771.79,783.85,-15.5,22.3,221.0,126.0,2.08,1.7,17.0,22.05,-2.0,17.1
1,40.19136,26.357408,40.193555,26.359788,242.77,1555.64,3.3,6.8,347.0,84.0,0.66,3.0,0.1,10.4,1.0,20.1
1,40.193555,26.359788,40.198779,26.358954,696.57,1798.41,-4.7,10.1,431.0,157.0,1.88,0.6,4.9,15.97,0.0,20.7
1,40.198779,26.358954,40.201196,26.356685,332.53,2494.98,2.6,5.4,588.0,69.0,0.9,2.5,0.1,17.35,1.0,23.2
1,40.201196,26.356685,40.203728,26.355887,234.54,2827.51,-2.3,8.0,657.0,46.0,0.63,0.1,2.2,18.36,0.0,23.3
1,40.203728,26.355887,40.20479,26.349701,513.63,3062.05,10.3,5.7,703.0,116.0,1.39,10.3,0.2,15.94,2.0,33.6
1,40.20479,26.349701,40.20486,26.345783,318.89,3575.68,-5.5,16.0,819.0,51.0,0.86,0.1,5.4,22.51,-2.0,33.7
1,40.20486,26.345783,40.199424,26.311734,2963.71,3894.57,12.4,10.5,870.0,515.0,8.0,14.7,2.3,20.72,0.0,48.4
1,40.199424,26.311734,40.199663,26.302399,803.03,6858.28,1.6,22.9,1385.0,143.0,2.17,2.0,0.6,20.22,0.0,50.4
1,40.199663,26.302399,40.20151,26.296316,540.27,7661.31,-2.0,24.5,1528.0,96.0,1.46,0.4,2.2,20.26,0.0,50.8
1,40.20151,26.296316,40.201995,26.294771,114.25,8201.58,0.0,22.5,1624.0,21.0,0.31,0.3,0.3,19.59,0.0,51.1
1,40.201995,26.294771,40.206602,26.281478,1359.25,8315.84,25.9,22.5,1645.0,372.0,3.67,26.1,0.4,13.15,2.0,77.2
1,40.206602,26.281478,40.211308,26.27674,727.2,9675.08,-40.0,48.4,2017.0,75.0,1.96,0.1,39.8,34.91,-5.0,77.3
1,40.211308,26.27674,40.229443,26.288716,2783.42,10402.28,117.4,8.4,2092.0,1362.0,7.52,119.1,2.0,7.36,4.0,196.4
1,40.229443,26.288716,40.231798,26.286786,320.91,13185.7,-8.4,125.8,3454.0,65.0,0.87,0.1,8.0,17.77,-2.0,196.5
1,40.231798,26.286786,40.23306,26.287807,194.87,13506.61,6.5,117.4,3519.0,48.0,0.53,6.4,0.4,14.62,3.0,202.9
1,40.23306,26.287807,40.23469,26.288695,185.95,13701.48,-8.1,123.9,3567.0,29.0,0.5,0.1,8.0,23.08,-4.0,203.0
1,40.23469,26.288695,40.235787,26.289033,236.73,13887.43,12.5,115.8,3596.0,269.0,0.64,12.4,0.1,3.17,5.0,215.4
1,40.235787,26.289033,40.234534,26.288643,159.45,14124.16,-12.5,128.3,3865.0,54.0,0.43,0.1,12.3,10.63,-8.0,215.5
1,40.234534,26.288643,40.232923,26.287646,240.74,14283.61,8.1,115.8,3919.0,62.0,0.65,8.0,0.2,13.98,3.0,223.5
1,40.232923,26.287646,40.232127,26.286892,263.55,14524.35,-6.5,123.9,3981.0,161.0,0.71,0.1,6.3,5.89,-2.0,223.6
1,40.232127,26.286892,40.230981,26.286942,145.77,14787.9,4.1,117.4,4142.0,28.0,0.39,4.2,0.4,18.74,3.0,227.8
1,40.230981,26.286942,40.231019,26.286786,16.19,14933.67,0.0,121.5,4170.0,5.0,0.04,0.1,0.1,11.66,0.0,227.9
1,40.231019,26.286786,40.229121,26.277192,1700.72,14949.86,-114.3,121.5,4175.0,604.0,4.59,0.5,114.6,10.14,-7.0,228.4
1,40.229121,26.277192,40.236895,26.283001,1193.51,16650.58,57.4,7.2,4779.0,1009.0,3.22,62.9,6.4,4.26,5.0,291.3
1,40.236895,26.283001,40.236601,26.283212,38.24,17844.08,-7.2,64.6,5788.0,2012.0,0.1,0.9,7.2,0.07,-19.0,292.2
1,40.236601,26.283212,40.250078,26.309246,3572.9,17882.33,211.5,57.4,7800.0,3011.0,9.65,229.9,18.6,4.27,6.0,522.1
